project_id,project_name,client_type,required_skills,start_date,end_date
PRJ0001,Manufacturing Engagement 1,Manufacturing,SK010|SK011|SK012,2025-02-16,2025-05-19
PRJ0002,Telecom Engagement 2,Telecom,SK015|SK020|SK012,2026-05-29,2026-08-31
PRJ0003,Manufacturing Engagement 3,Manufacturing,SK023|SK015|SK010,2024-09-23,2025-05-22
PRJ0004,GenAI Innovation Engagement 4,GenAI Innovation,SK007|SK009|SK012,2025-12-14,2026-03-08
PRJ0005,GenAI Innovation Engagement 5,GenAI Innovation,SK007|SK009|SK008,2025-03-09,2025-08-01
PRJ0006,Manufacturing Engagement 6,Manufacturing,SK001|SK025|SK013,2026-04-21,2026-07-12
PRJ0007,Healthcare Engagement 7,Healthcare,SK023|SK022|SK001,2025-12-30,2026-07-15
PRJ0008,BFSI Engagement 8,BFSI,SK007|SK024|SK011,2024-12-11,2025-04-30
PRJ0009,Manufacturing Engagement 9,Manufacturing,SK011|SK005|SK010,2025-09-02,2025-11-24
PRJ0010,BFSI Engagement 10,BFSI,SK021|SK009|SK014,2025-03-10,2025-11-30
PRJ0011,Healthcare Engagement 11,Healthcare,SK011|SK015|SK023,2025-02-14,2025-08-24
PRJ0012,Retail Engagement 12,Retail,SK001|SK026|SK024,2025-08-19,2025-10-26
PRJ0013,Telecom Engagement 13,Telecom,SK022|SK001|SK002,2025-07-15,2026-01-28
PRJ0014,Manufacturing Engagement 14,Manufacturing,SK007|SK014|SK025,2025-04-01,2025-09-08
PRJ0015,GenAI Innovation Engagement 15,GenAI Innovation,SK005|SK002|SK011,2024-11-27,2025-03-06
PRJ0016,Healthcare Engagement 16,Healthcare,SK011|SK004|SK016,2025-09-19,2026-02-04
PRJ0017,BFSI Engagement 17,BFSI,SK007|SK002|SK023,2025-01-13,2025-07-27
PRJ0018,Manufacturing Engagement 18,Manufacturing,SK021|SK023|SK002,2025-12-21,2026-03-25
PRJ0019,BFSI Engagement 19,BFSI,SK026|SK024|SK003,2025-07-09,2025-10-12
PRJ0020,Retail Engagement 20,Retail,SK016|SK023|SK026,2025-06-21,2025-12-19
PRJ0021,Manufacturing Engagement 21,Manufacturing,SK023|SK009|SK010,2025-11-27,2026-04-16
PRJ0022,Telecom Engagement 22,Telecom,SK007|SK001|SK020,2024-11-11,2025-03-29
PRJ0023,Manufacturing Engagement 23,Manufacturing,SK020|SK022|SK025,2024-07-23,2025-02-05
PRJ0024,Telecom Engagement 24,Telecom,SK022|SK013|SK026,2026-02-26,2026-08-26
PRJ0025,BFSI Engagement 25,BFSI,SK013|SK025|SK020,2025-12-24,2026-04-21
PRJ0026,Manufacturing Engagement 26,Manufacturing,SK007|SK019|SK012,2025-12-01,2026-02-04
PRJ0027,Healthcare Engagement 27,Healthcare,SK003|SK008|SK019,2025-11-06,2026-03-16
PRJ0028,GenAI Innovation Engagement 28,GenAI Innovation,SK002|SK012|SK001,2024-11-01,2025-01-22
PRJ0029,Healthcare Engagement 29,Healthcare,SK006|SK022|SK008,2024-11-03,2025-02-07
PRJ0030,Retail Engagement 30,Retail,SK001|SK018|SK004,2025-07-30,2025-10-16
PRJ0031,Healthcare Engagement 31,Healthcare,SK021|SK022|SK016,2024-08-31,2025-01-30
PRJ0032,Retail Engagement 32,Retail,SK012|SK003|SK024,2024-09-25,2024-12-09
PRJ0033,BFSI Engagement 33,BFSI,SK012|SK004|SK006,2025-03-14,2025-11-19
PRJ0034,Telecom Engagement 34,Telecom,SK015|SK014|SK009,2025-04-11,2025-10-21
PRJ0035,GenAI Innovation Engagement 35,GenAI Innovation,SK010|SK001|SK012,2025-10-16,2026-06-30
PRJ0036,BFSI Engagement 36,BFSI,SK013|SK026|SK023,2025-11-01,2026-05-09
PRJ0037,Telecom Engagement 37,Telecom,SK017|SK008|SK005,2024-10-21,2025-06-03
PRJ0038,Telecom Engagement 38,Telecom,SK017|SK024|SK014,2025-07-18,2026-03-28
PRJ0039,Retail Engagement 39,Retail,SK024|SK018|SK015,2025-04-19,2025-11-24
PRJ0040,Healthcare Engagement 40,Healthcare,SK006|SK023|SK021,2025-08-24,2026-05-14
PRJ0041,Healthcare Engagement 41,Healthcare,SK012|SK013|SK004,2025-10-23,2026-01-20
PRJ0042,GenAI Innovation Engagement 42,GenAI Innovation,SK011|SK003|SK006,2025-12-25,2026-07-18
PRJ0043,GenAI Innovation Engagement 43,GenAI Innovation,SK007|SK008|SK006,2025-05-22,2025-10-13
PRJ0044,Retail Engagement 44,Retail,SK010|SK004|SK008,2026-01-06,2026-03-20
PRJ0045,Retail Engagement 45,Retail,SK020|SK024|SK014,2025-07-11,2026-01-24
PRJ0046,BFSI Engagement 46,BFSI,SK026|SK017|SK008,2025-08-06,2026-01-11
PRJ0047,Retail Engagement 47,Retail,SK020|SK026|SK003,2025-03-18,2025-12-06
PRJ0048,Healthcare Engagement 48,Healthcare,SK021|SK004|SK015,2025-12-23,2026-03-12
PRJ0049,Retail Engagement 49,Retail,SK008|SK025|SK024,2024-08-22,2025-05-07
PRJ0050,Retail Engagement 50,Retail,SK011|SK007|SK021,2026-01-14,2026-07-14
PRJ0051,Telecom Engagement 51,Telecom,SK016|SK007|SK018,2025-08-13,2026-04-06
PRJ0052,Retail Engagement 52,Retail,SK002|SK007|SK017,2024-09-09,2025-02-25
PRJ0053,GenAI Innovation Engagement 53,GenAI Innovation,SK002|SK010|SK005,2026-04-07,2026-10-08
PRJ0054,BFSI Engagement 54,BFSI,SK003|SK026|SK008,2026-01-27,2026-06-19
PRJ0055,Retail Engagement 55,Retail,SK018|SK010|SK019,2025-07-22,2025-10-19
PRJ0056,GenAI Innovation Engagement 56,GenAI Innovation,SK008|SK005|SK003,2024-12-02,2025-08-08
PRJ0057,Manufacturing Engagement 57,Manufacturing,SK011|SK016|SK021,2026-03-09,2026-09-15
PRJ0058,Manufacturing Engagement 58,Manufacturing,SK002|SK006|SK024,2026-04-04,2026-09-11
PRJ0059,Telecom Engagement 59,Telecom,SK008|SK010|SK015,2025-08-23,2026-05-16
PRJ0060,Telecom Engagement 60,Telecom,SK007|SK017|SK006,2025-01-24,2025-05-13
PRJ0061,Manufacturing Engagement 61,Manufacturing,SK022|SK024|SK004,2025-11-24,2026-06-15
PRJ0062,GenAI Innovation Engagement 62,GenAI Innovation,SK004|SK001|SK005,2024-12-31,2025-05-11
PRJ0063,Telecom Engagement 63,Telecom,SK015|SK005|SK016,2026-04-28,2026-09-07
PRJ0064,GenAI Innovation Engagement 64,GenAI Innovation,SK003|SK004|SK007,2025-06-09,2026-01-26
PRJ0065,GenAI Innovation Engagement 65,GenAI Innovation,SK005|SK003|SK009,2026-01-12,2026-08-15
PRJ0066,Telecom Engagement 66,Telecom,SK022|SK017|SK001,2024-11-27,2025-02-16
PRJ0067,Healthcare Engagement 67,Healthcare,SK015|SK012|SK021,2026-03-15,2026-05-28
PRJ0068,GenAI Innovation Engagement 68,GenAI Innovation,SK007|SK008|SK012,2024-11-06,2025-03-24
PRJ0069,Healthcare Engagement 69,Healthcare,SK026|SK001|SK007,2025-11-20,2026-05-20
PRJ0070,Retail Engagement 70,Retail,SK019|SK026|SK008,2026-03-12,2026-11-26
PRJ0071,Manufacturing Engagement 71,Manufacturing,SK019|SK010|SK011,2025-12-02,2026-02-04
PRJ0072,BFSI Engagement 72,BFSI,SK010|SK023|SK018,2025-11-10,2026-04-04
PRJ0073,Manufacturing Engagement 73,Manufacturing,SK005|SK024|SK008,2025-06-28,2026-03-20
PRJ0074,Manufacturing Engagement 74,Manufacturing,SK021|SK003|SK009,2026-04-10,2026-12-28
PRJ0075,GenAI Innovation Engagement 75,GenAI Innovation,SK012|SK002|SK004,2024-09-17,2025-06-09
PRJ0076,Healthcare Engagement 76,Healthcare,SK022|SK009|SK008,2026-01-12,2026-07-17
PRJ0077,Healthcare Engagement 77,Healthcare,SK022|SK014|SK007,2026-01-25,2026-09-25
PRJ0078,Telecom Engagement 78,Telecom,SK019|SK013|SK009,2025-06-02,2026-02-20
PRJ0079,BFSI Engagement 79,BFSI,SK008|SK006|SK002,2025-06-01,2025-11-26
PRJ0080,Healthcare Engagement 80,Healthcare,SK007|SK012|SK020,2025-01-31,2025-06-02
PRJ0081,Telecom Engagement 81,Telecom,SK025|SK022|SK018,2024-11-30,2025-06-14
PRJ0082,BFSI Engagement 82,BFSI,SK015|SK013|SK004,2024-10-20,2025-03-09
PRJ0083,Healthcare Engagement 83,Healthcare,SK006|SK021|SK008,2025-08-23,2026-02-11
PRJ0084,Manufacturing Engagement 84,Manufacturing,SK011|SK006|SK018,2024-09-14,2024-11-13
PRJ0085,Manufacturing Engagement 85,Manufacturing,SK011|SK010|SK016,2024-10-27,2025-02-01
PRJ0086,BFSI Engagement 86,BFSI,SK002|SK010|SK008,2024-08-17,2025-05-01
PRJ0087,BFSI Engagement 87,BFSI,SK007|SK008|SK018,2026-02-19,2026-06-27
PRJ0088,Healthcare Engagement 88,Healthcare,SK026|SK014|SK016,2026-05-11,2026-07-13
PRJ0089,Healthcare Engagement 89,Healthcare,SK004|SK021|SK006,2025-03-19,2025-10-16
PRJ0090,BFSI Engagement 90,BFSI,SK006|SK012|SK014,2025-01-06,2025-05-15
PRJ0091,GenAI Innovation Engagement 91,GenAI Innovation,SK001|SK005|SK007,2025-09-28,2026-06-06
PRJ0092,BFSI Engagement 92,BFSI,SK019|SK020|SK018,2025-12-17,2026-06-10
PRJ0093,Telecom Engagement 93,Telecom,SK007|SK024|SK026,2025-01-18,2025-09-17
PRJ0094,Telecom Engagement 94,Telecom,SK004|SK013|SK011,2025-06-16,2026-02-11
PRJ0095,Telecom Engagement 95,Telecom,SK010|SK007|SK014,2026-05-21,2027-01-13
PRJ0096,Manufacturing Engagement 96,Manufacturing,SK025|SK023|SK010,2024-10-15,2025-07-10
PRJ0097,Manufacturing Engagement 97,Manufacturing,SK003|SK014|SK023,2026-03-22,2026-05-26
PRJ0098,Telecom Engagement 98,Telecom,SK007|SK003|SK009,2024-11-17,2025-05-26
PRJ0099,Telecom Engagement 99,Telecom,SK002|SK020|SK014,2026-03-21,2026-09-05
PRJ0100,GenAI Innovation Engagement 100,GenAI Innovation,SK009|SK010|SK002,2025-02-17,2025-10-30
PRJ0101,BFSI Engagement 101,BFSI,SK023|SK001|SK012,2026-05-28,2026-09-04
PRJ0102,Manufacturing Engagement 102,Manufacturing,SK001|SK015|SK012,2025-02-19,2025-08-09
PRJ0103,Telecom Engagement 103,Telecom,SK011|SK003|SK007,2024-09-29,2025-02-17
PRJ0104,GenAI Innovation Engagement 104,GenAI Innovation,SK010|SK005|SK004,2025-04-07,2025-08-31
PRJ0105,Retail Engagement 105,Retail,SK020|SK017|SK011,2025-06-03,2025-08-22
PRJ0106,Healthcare Engagement 106,Healthcare,SK015|SK022|SK013,2025-06-07,2026-01-07
PRJ0107,Telecom Engagement 107,Telecom,SK012|SK013|SK008,2026-02-18,2026-06-01
PRJ0108,Manufacturing Engagement 108,Manufacturing,SK019|SK013|SK021,2024-08-12,2024-11-24
PRJ0109,Telecom Engagement 109,Telecom,SK016|SK003|SK017,2024-09-18,2025-04-11
PRJ0110,Retail Engagement 110,Retail,SK021|SK019|SK005,2025-02-21,2025-07-22
PRJ0111,BFSI Engagement 111,BFSI,SK002|SK017|SK008,2026-01-07,2026-04-28
PRJ0112,Manufacturing Engagement 112,Manufacturing,SK004|SK022|SK021,2025-02-23,2025-07-25
PRJ0113,BFSI Engagement 113,BFSI,SK009|SK002|SK013,2025-03-12,2025-12-03
PRJ0114,Healthcare Engagement 114,Healthcare,SK001|SK026|SK005,2026-03-16,2026-11-24
PRJ0115,GenAI Innovation Engagement 115,GenAI Innovation,SK003|SK002|SK001,2026-04-25,2026-11-03
PRJ0116,BFSI Engagement 116,BFSI,SK012|SK023|SK001,2025-04-07,2025-08-05
PRJ0117,Telecom Engagement 117,Telecom,SK005|SK023|SK026,2025-10-13,2026-05-14
PRJ0118,GenAI Innovation Engagement 118,GenAI Innovation,SK009|SK006|SK011,2024-08-13,2025-03-01
PRJ0119,Retail Engagement 119,Retail,SK001|SK019|SK013,2025-03-10,2025-09-24
PRJ0120,BFSI Engagement 120,BFSI,SK016|SK017|SK008,2026-05-25,2026-10-14
PRJ0121,Retail Engagement 121,Retail,SK021|SK016|SK010,2025-06-30,2025-11-23
PRJ0122,GenAI Innovation Engagement 122,GenAI Innovation,SK006|SK004|SK003,2026-05-08,2026-07-21
PRJ0123,Manufacturing Engagement 123,Manufacturing,SK024|SK015|SK014,2026-04-06,2026-08-31
PRJ0124,Manufacturing Engagement 124,Manufacturing,SK025|SK013|SK026,2026-05-31,2026-08-20
PRJ0125,Telecom Engagement 125,Telecom,SK008|SK006|SK005,2025-12-21,2026-08-27
PRJ0126,Telecom Engagement 126,Telecom,SK015|SK011|SK007,2025-06-08,2025-09-07
PRJ0127,Telecom Engagement 127,Telecom,SK021|SK023|SK015,2024-11-16,2025-07-20
PRJ0128,Retail Engagement 128,Retail,SK004|SK013|SK002,2025-08-07,2025-10-15
PRJ0129,Healthcare Engagement 129,Healthcare,SK004|SK019|SK009,2025-09-26,2026-03-07
PRJ0130,Healthcare Engagement 130,Healthcare,SK004|SK008|SK011,2025-10-11,2026-02-06
PRJ0131,Healthcare Engagement 131,Healthcare,SK011|SK016|SK018,2025-05-03,2025-12-28
PRJ0132,Manufacturing Engagement 132,Manufacturing,SK006|SK009|SK002,2026-05-21,2026-10-05
PRJ0133,Manufacturing Engagement 133,Manufacturing,SK015|SK014|SK020,2025-01-10,2025-04-21
PRJ0134,Healthcare Engagement 134,Healthcare,SK024|SK017|SK022,2025-04-30,2025-07-17
PRJ0135,GenAI Innovation Engagement 135,GenAI Innovation,SK001|SK004|SK010,2025-08-12,2026-01-05
PRJ0136,Telecom Engagement 136,Telecom,SK024|SK017|SK021,2025-11-13,2026-03-09
PRJ0137,BFSI Engagement 137,BFSI,SK018|SK017|SK014,2025-03-22,2025-10-24
PRJ0138,GenAI Innovation Engagement 138,GenAI Innovation,SK007|SK003|SK002,2025-07-06,2026-02-16
PRJ0139,GenAI Innovation Engagement 139,GenAI Innovation,SK010|SK011|SK002,2024-10-17,2025-05-22
PRJ0140,Healthcare Engagement 140,Healthcare,SK002|SK017|SK004,2024-08-12,2025-01-30
PRJ0141,BFSI Engagement 141,BFSI,SK011|SK020|SK009,2024-12-19,2025-04-04
PRJ0142,Healthcare Engagement 142,Healthcare,SK012|SK002|SK013,2024-12-26,2025-03-27
PRJ0143,BFSI Engagement 143,BFSI,SK017|SK023|SK006,2025-04-26,2025-08-21
PRJ0144,Telecom Engagement 144,Telecom,SK009|SK010|SK012,2024-12-25,2025-04-10
PRJ0145,GenAI Innovation Engagement 145,GenAI Innovation,SK002|SK012|SK001,2025-06-06,2026-02-26
PRJ0146,Manufacturing Engagement 146,Manufacturing,SK014|SK019|SK018,2025-05-07,2025-12-02
PRJ0147,Healthcare Engagement 147,Healthcare,SK024|SK006|SK026,2025-02-14,2025-05-10
PRJ0148,Healthcare Engagement 148,Healthcare,SK017|SK019|SK012,2026-03-23,2026-06-20
PRJ0149,GenAI Innovation Engagement 149,GenAI Innovation,SK002|SK005|SK003,2025-06-02,2025-11-15
PRJ0150,GenAI Innovation Engagement 150,GenAI Innovation,SK002|SK009|SK008,2024-11-27,2025-07-25
PRJ0151,Telecom Engagement 151,Telecom,SK025|SK001|SK022,2024-10-07,2025-02-25
PRJ0152,Retail Engagement 152,Retail,SK013|SK001|SK006,2025-07-23,2026-03-26
PRJ0153,Healthcare Engagement 153,Healthcare,SK018|SK020|SK002,2025-03-14,2025-10-06
PRJ0154,BFSI Engagement 154,BFSI,SK004|SK022|SK023,2024-10-08,2025-01-10
PRJ0155,Telecom Engagement 155,Telecom,SK021|SK024|SK006,2026-05-06,2026-10-20
PRJ0156,GenAI Innovation Engagement 156,GenAI Innovation,SK003|SK007|SK005,2025-09-17,2026-03-29
PRJ0157,Retail Engagement 157,Retail,SK005|SK024|SK001,2025-02-19,2025-09-13
PRJ0158,Healthcare Engagement 158,Healthcare,SK009|SK026|SK019,2026-03-21,2026-12-14
PRJ0159,Healthcare Engagement 159,Healthcare,SK013|SK022|SK014,2024-12-21,2025-06-15
PRJ0160,GenAI Innovation Engagement 160,GenAI Innovation,SK007|SK003|SK006,2025-01-11,2025-08-30
PRJ0161,GenAI Innovation Engagement 161,GenAI Innovation,SK006|SK007|SK005,2025-03-20,2025-07-31
PRJ0162,GenAI Innovation Engagement 162,GenAI Innovation,SK011|SK010|SK005,2024-12-31,2025-06-19
PRJ0163,Manufacturing Engagement 163,Manufacturing,SK016|SK007|SK011,2025-05-06,2026-01-11
PRJ0164,Retail Engagement 164,Retail,SK003|SK017|SK002,2024-08-02,2024-12-12
PRJ0165,Telecom Engagement 165,Telecom,SK016|SK011|SK009,2025-11-21,2026-05-10
PRJ0166,GenAI Innovation Engagement 166,GenAI Innovation,SK011|SK012|SK005,2026-05-16,2026-12-30
PRJ0167,BFSI Engagement 167,BFSI,SK017|SK020|SK011,2025-12-03,2026-03-17
PRJ0168,Healthcare Engagement 168,Healthcare,SK003|SK020|SK015,2024-08-06,2024-10-23
PRJ0169,Telecom Engagement 169,Telecom,SK001|SK019|SK015,2026-06-16,2026-11-07
PRJ0170,Manufacturing Engagement 170,Manufacturing,SK020|SK024|SK019,2025-11-14,2026-04-30
PRJ0171,GenAI Innovation Engagement 171,GenAI Innovation,SK009|SK005|SK011,2024-08-15,2025-05-01
PRJ0172,Healthcare Engagement 172,Healthcare,SK003|SK001|SK005,2024-11-23,2025-04-12
PRJ0173,Retail Engagement 173,Retail,SK003|SK015|SK023,2024-12-20,2025-06-01
PRJ0174,GenAI Innovation Engagement 174,GenAI Innovation,SK011|SK007|SK001,2024-12-26,2025-03-08
PRJ0175,GenAI Innovation Engagement 175,GenAI Innovation,SK011|SK003|SK009,2024-09-12,2025-02-04
PRJ0176,GenAI Innovation Engagement 176,GenAI Innovation,SK008|SK005|SK012,2024-10-26,2025-05-26
PRJ0177,GenAI Innovation Engagement 177,GenAI Innovation,SK004|SK002|SK012,2025-08-02,2025-10-15
PRJ0178,Telecom Engagement 178,Telecom,SK021|SK014|SK006,2025-08-04,2026-02-11
PRJ0179,BFSI Engagement 179,BFSI,SK016|SK007|SK019,2026-01-25,2026-07-05
PRJ0180,GenAI Innovation Engagement 180,GenAI Innovation,SK008|SK004|SK012,2025-02-21,2025-08-09
PRJ0181,GenAI Innovation Engagement 181,GenAI Innovation,SK005|SK001|SK002,2025-12-05,2026-03-31
PRJ0182,Manufacturing Engagement 182,Manufacturing,SK021|SK003|SK011,2026-05-24,2026-09-14
PRJ0183,Telecom Engagement 183,Telecom,SK019|SK012|SK017,2025-02-02,2025-10-13
PRJ0184,Healthcare Engagement 184,Healthcare,SK010|SK008|SK004,2026-06-14,2026-12-08
PRJ0185,BFSI Engagement 185,BFSI,SK013|SK023|SK011,2024-10-06,2025-04-04
PRJ0186,Healthcare Engagement 186,Healthcare,SK009|SK004|SK022,2024-11-29,2025-08-02
PRJ0187,Healthcare Engagement 187,Healthcare,SK024|SK018|SK006,2025-11-02,2026-04-15
PRJ0188,Retail Engagement 188,Retail,SK024|SK003|SK008,2025-11-25,2026-02-11
PRJ0189,Retail Engagement 189,Retail,SK023|SK006|SK018,2025-01-20,2025-08-03
PRJ0190,Healthcare Engagement 190,Healthcare,SK014|SK023|SK007,2025-07-03,2025-11-13
PRJ0191,Manufacturing Engagement 191,Manufacturing,SK008|SK002|SK025,2025-09-01,2025-11-23
PRJ0192,Retail Engagement 192,Retail,SK015|SK007|SK005,2025-03-04,2025-11-13
PRJ0193,Retail Engagement 193,Retail,SK022|SK007|SK025,2024-09-21,2025-03-10
PRJ0194,Retail Engagement 194,Retail,SK013|SK016|SK014,2025-10-14,2026-01-29
PRJ0195,Retail Engagement 195,Retail,SK003|SK020|SK025,2025-02-02,2025-06-20
PRJ0196,BFSI Engagement 196,BFSI,SK009|SK022|SK021,2024-11-16,2025-05-01
PRJ0197,Healthcare Engagement 197,Healthcare,SK007|SK022|SK009,2025-08-17,2025-10-22
PRJ0198,BFSI Engagement 198,BFSI,SK009|SK018|SK010,2025-12-30,2026-08-22
PRJ0199,Telecom Engagement 199,Telecom,SK013|SK007|SK026,2024-08-24,2024-11-29
PRJ0200,Telecom Engagement 200,Telecom,SK011|SK001|SK026,2026-01-15,2026-07-08
PRJ0201,GenAI Innovation Engagement 201,GenAI Innovation,SK006|SK005|SK008,2025-11-18,2026-08-03
PRJ0202,Telecom Engagement 202,Telecom,SK015|SK014|SK002,2024-12-05,2025-02-22
PRJ0203,BFSI Engagement 203,BFSI,SK011|SK017|SK012,2025-05-26,2026-01-02
PRJ0204,GenAI Innovation Engagement 204,GenAI Innovation,SK008|SK004|SK011,2025-06-10,2025-09-25
PRJ0205,Healthcare Engagement 205,Healthcare,SK019|SK018|SK001,2025-05-06,2025-07-14
PRJ0206,Telecom Engagement 206,Telecom,SK011|SK013|SK002,2025-05-26,2026-02-17
PRJ0207,Retail Engagement 207,Retail,SK002|SK011|SK014,2026-06-13,2026-09-25
PRJ0208,Telecom Engagement 208,Telecom,SK010|SK009|SK019,2026-03-29,2026-07-14
PRJ0209,Manufacturing Engagement 209,Manufacturing,SK021|SK004|SK008,2025-02-11,2025-10-08
PRJ0210,Retail Engagement 210,Retail,SK008|SK023|SK022,2025-03-01,2025-07-03
PRJ0211,Retail Engagement 211,Retail,SK013|SK007|SK006,2025-01-12,2025-07-19
PRJ0212,Retail Engagement 212,Retail,SK024|SK026|SK011,2025-05-07,2025-09-11
PRJ0213,GenAI Innovation Engagement 213,GenAI Innovation,SK009|SK004|SK007,2024-08-27,2025-02-24
PRJ0214,Telecom Engagement 214,Telecom,SK008|SK015|SK025,2025-12-08,2026-03-04
PRJ0215,Retail Engagement 215,Retail,SK022|SK010|SK011,2024-11-17,2025-08-05
PRJ0216,GenAI Innovation Engagement 216,GenAI Innovation,SK012|SK010|SK007,2025-12-07,2026-07-26
PRJ0217,Manufacturing Engagement 217,Manufacturing,SK004|SK009|SK006,2025-10-29,2026-05-07
PRJ0218,BFSI Engagement 218,BFSI,SK020|SK019|SK009,2025-05-18,2025-08-08
PRJ0219,Manufacturing Engagement 219,Manufacturing,SK019|SK022|SK006,2025-02-09,2025-04-10
PRJ0220,Healthcare Engagement 220,Healthcare,SK003|SK004|SK013,2024-12-18,2025-04-07
PRJ0221,GenAI Innovation Engagement 221,GenAI Innovation,SK003|SK011|SK001,2026-01-26,2026-04-01
PRJ0222,GenAI Innovation Engagement 222,GenAI Innovation,SK008|SK009|SK011,2026-02-13,2026-08-22
PRJ0223,Retail Engagement 223,Retail,SK001|SK017|SK025,2025-10-05,2026-02-03
PRJ0224,Manufacturing Engagement 224,Manufacturing,SK010|SK018|SK020,2026-01-23,2026-07-21
PRJ0225,Telecom Engagement 225,Telecom,SK011|SK006|SK024,2025-08-22,2026-01-12
PRJ0226,Healthcare Engagement 226,Healthcare,SK022|SK010|SK023,2025-01-31,2025-05-27
PRJ0227,GenAI Innovation Engagement 227,GenAI Innovation,SK009|SK006|SK012,2025-11-03,2026-04-17
PRJ0228,Manufacturing Engagement 228,Manufacturing,SK014|SK017|SK003,2025-08-03,2025-12-26
PRJ0229,Retail Engagement 229,Retail,SK025|SK023|SK021,2024-09-26,2025-03-31
PRJ0230,Telecom Engagement 230,Telecom,SK015|SK013|SK012,2025-03-17,2025-06-09
PRJ0231,Retail Engagement 231,Retail,SK014|SK020|SK026,2024-12-26,2025-07-10
PRJ0232,Healthcare Engagement 232,Healthcare,SK005|SK016|SK020,2026-03-03,2026-05-23
PRJ0233,Manufacturing Engagement 233,Manufacturing,SK006|SK020|SK025,2026-05-11,2026-09-27
PRJ0234,Retail Engagement 234,Retail,SK005|SK001|SK006,2025-08-26,2026-03-24
PRJ0235,Healthcare Engagement 235,Healthcare,SK004|SK023|SK009,2025-03-05,2025-10-12
PRJ0236,GenAI Innovation Engagement 236,GenAI Innovation,SK005|SK010|SK002,2025-04-29,2025-12-07
PRJ0237,Telecom Engagement 237,Telecom,SK021|SK020|SK013,2024-11-01,2025-05-02
PRJ0238,Manufacturing Engagement 238,Manufacturing,SK022|SK003|SK023,2024-09-09,2025-04-10
PRJ0239,Manufacturing Engagement 239,Manufacturing,SK015|SK021|SK024,2025-07-08,2026-02-26
PRJ0240,Healthcare Engagement 240,Healthcare,SK006|SK009|SK001,2024-08-30,2025-01-25
PRJ0241,Manufacturing Engagement 241,Manufacturing,SK001|SK017|SK014,2025-09-29,2026-05-08
PRJ0242,Telecom Engagement 242,Telecom,SK005|SK013|SK011,2026-03-14,2026-11-08
PRJ0243,Telecom Engagement 243,Telecom,SK011|SK026|SK005,2024-08-29,2025-04-18
PRJ0244,Manufacturing Engagement 244,Manufacturing,SK005|SK003|SK025,2026-05-09,2026-10-15
PRJ0245,Retail Engagement 245,Retail,SK006|SK001|SK021,2025-04-13,2025-07-19
PRJ0246,Retail Engagement 246,Retail,SK011|SK005|SK010,2025-03-19,2025-11-27
PRJ0247,Telecom Engagement 247,Telecom,SK020|SK014|SK022,2026-03-16,2026-07-17
PRJ0248,Retail Engagement 248,Retail,SK020|SK006|SK024,2024-12-03,2025-05-27
PRJ0249,Healthcare Engagement 249,Healthcare,SK017|SK023|SK003,2026-02-14,2026-05-22
PRJ0250,BFSI Engagement 250,BFSI,SK021|SK016|SK025,2025-11-04,2026-05-05
